adapt_completed,adapt_energy,adapt_safety,adapt_tardy,axis,cost_usd,energy_wh,full_completed,full_energy,full_safety,full_tardy,label,n_stations,policy,rate,seed,tariff
,8996.677516347158,0,,density,,,,8777.153970937006,0,,balanced,5,,,29,
,8202.389797588883,0,,density,,,,8030.657119352291,0,,balanced,5,,,30,
,8341.043940356209,0,,density,,,,7946.374472881132,0,,abundant,10,,,1,
,8289.160037041265,0,,density,,,,8135.060005074137,0,,abundant,10,,,2,
,8803.214297323973,0,,density,,,,8230.884948926092,0,,abundant,10,,,3,
,8821.235392239887,0,,density,,,,8586.39515938596,0,,abundant,10,,,4,
,7982.5315094935,0,,density,,,,7614.875101019717,0,,abundant,10,,,5,
,9048.660224893572,0,,density,,,,8468.954529379549,0,,abundant,10,,,6,
,7447.629901348368,0,,density,,,,7217.258301139579,0,,abundant,10,,,7,
,7859.245852236935,0,,density,,,,7670.657800076612,0,,abundant,10,,,8,
,8251.82800435509,0,,density,,,,7858.050201294458,0,,abundant,10,,,9,
,8610.247991581424,0,,density,,,,8164.657087455472,0,,abundant,10,,,10,
,8319.763854139957,0,,density,,,,8262.655022625266,0,,abundant,10,,,11,
,7745.665151464765,0,,density,,,,7424.821834594385,0,,abundant,10,,,12,
,8439.96911731672,0,,density,,,,7975.768888663209,0,,abundant,10,,,13,
,8749.886666551365,0,,density,,,,8071.1351916457215,0,,abundant,10,,,14,
,8233.555727309264,0,,density,,,,7715.259775550493,0,,abundant,10,,,15,
,8148.040970767035,0,,density,,,,7677.02420858559,0,,abundant,10,,,16,
,8948.83141138872,0,,density,,,,8563.749036958116,0,,abundant,10,,,17,
,8453.037407985717,0,,density,,,,8247.561841647,0,,abundant,10,,,18,
,7971.924110904003,0,,density,,,,7649.51426005048,0,,abundant,10,,,19,
,8463.130540152948,0,,density,,,,8287.562351239148,0,,abundant,10,,,20,
,8492.6279704059,0,,density,,,,8113.675161263172,0,,abundant,10,,,21,
,8335.200917582875,0,,density,,,,7916.928069906827,0,,abundant,10,,,22,
,8419.263994853833,0,,density,,,,7486.415903913241,0,,abundant,10,,,23,
,8073.719903801229,0,,density,,,,7678.566973747777,0,,abundant,10,,,24,
,8174.041791326676,0,,density,,,,8040.965708041107,0,,abundant,10,,,25,
,8138.301989678496,0,,density,,,,7837.456066280868,0,,abundant,10,,,26,
,8315.116152446883,0,,density,,,,7918.084395392759,0,,abundant,10,,,27,
,8208.337045113461,0,,density,,,,7450.510694828286,0,,abundant,10,,,28,
,8937.393412262645,0,,density,,,,8404.910652950759,0,,abundant,10,,,29,
,8119.040899987668,0,,density,,,,7880.380407530508,0,,abundant,10,,,30,
286,2653.589552869886,,0,load,,,286,2745.308028922792,,0,light,,,0.3,1,
306,3084.502600477912,,0,load,,,305,3087.9452059273763,,0,light,,,0.3,2,
307,3025.013470189298,,0,load,,,307,3102.4102351369033,,0,light,,,0.3,3,
303,2948.7483704264077,,0,load,,,303,2901.59591867459,,0,light,,,0.3,4,
293,2886.7886839295816,,0,load,,,293,2821.37757542258,,0,light,,,0.3,5,
331,3285.2305524932617,,0,load,,,331,3244.0807480808326,,0,light,,,0.3,6,
281,2511.3740304810776,,0,load,,,280,2565.247394155431,,0,light,,,0.3,7,
295,2666.200393427873,,0,load,,,295,2825.5581784756564,,0,light,,,0.3,8,
309,3003.508610327959,,0,load,,,309,2876.696757423095,,0,light,,,0.3,9,
329,3167.6814779116607,,0,load,,,329,3139.2080505727436,,0,light,,,0.3,10,
313,2995.1424801444978,,0,load,,,313,3100.22132103052,,0,light,,,0.3,11,
266,2505.430948517086,,0,load,,,266,2514.381575360092,,0,light,,,0.3,12,
274,2586.077137944378,,0,load,,,274,2685.7284992874547,,0,light,,,0.3,13,
